1,霸王别姬,http://p1.meituan.net/movie/20803f59291c47e1e116c11963ce019e68711.jpg@160w_220h_1e_1c,主演：张国荣,张丰毅,巩俐,9.,6
2,罗马假日,http://p0.meituan.net/movie/54617769d96807e4d81804284ffe2a27239007.jpg@160w_220h_1e_1c,主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特,9.,1
3,肖申克的救赎,http://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@160w_220h_1e_1c,主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,9.,5
4,这个杀手不太冷,http://p0.meituan.net/movie/e55ec5d18ccc83ba7db68caae54f165f95924.jpg@160w_220h_1e_1c,主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼,9.,5
5,教父,http://p1.meituan.net/movie/f5a924f362f050881f2b8f82e852747c118515.jpg@160w_220h_1e_1c,主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,9.,3
6,泰坦尼克号,http://p1.meituan.net/movie/0699ac97c82cf01638aa5023562d6134351277.jpg@160w_220h_1e_1c,主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,9.,5
7,唐伯虎点秋香,http://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@160w_220h_1e_1c,主演：周星驰,巩俐,郑佩佩,9.,2
8,千与千寻,http://p0.meituan.net/movie/b076ce63e9860ecf1ee9839badee5228329384.jpg@160w_220h_1e_1c,主演：柊瑠美,入野自由,夏木真理,9.,3
9,魂断蓝桥,http://p0.meituan.net/movie/46c29a8b8d8424bdda7715e6fd779c66235684.jpg@160w_220h_1e_1c,主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森,9.,2
10,乱世佳人,http://p0.meituan.net/movie/230e71d398e0c54730d58dc4bb6e4cca51662.jpg@160w_220h_1e_1c,主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰,9.,1
11,喜剧之王,http://p1.meituan.net/movie/18e3191039d5e71562477659301f04aa61905.jpg@160w_220h_1e_1c,主演：周星驰,莫文蔚,张柏芝,9.,2
12,天空之城,http://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@160w_220h_1e_1c,主演：寺田农,鹫尾真知子,龟山助清,9.,1
13,大闹天宫,http://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@160w_220h_1e_1c,主演：邱岳峰,毕克,富润生,9.,0
14,辛德勒的名单,http://p1.meituan.net/movie/39ed7a0941a3604bba78d299b11a18ce119679.jpg@160w_220h_1e_1c,主演：连姆·尼森,拉尔夫·费因斯,本·金斯利,9.,2
15,音乐之声,http://p1.meituan.net/movie/6bc004d57358ee6875faa5e9a1239140128550.jpg@160w_220h_1e_1c,主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克,9.,0
16,春光乍泄,http://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@160w_220h_1e_1c,主演：张国荣,梁朝伟,张震,9.,2
17,剪刀手爱德华,http://p1.meituan.net/movie/0e91ffcfa7e53449216cc29ee8af513a75791.jpg@160w_220h_1e_1c,主演：约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,8.,8
18,美丽人生,http://p0.meituan.net/movie/43d259ecbcd53e8bbe902632772281d6327525.jpg@160w_220h_1e_1c,主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,9.,3
19,海上钢琴师,http://p1.meituan.net/movie/c15b7623cce2f51c75562a3baefe507b68290.jpg@160w_220h_1e_1c,主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,9.,2
20,黑客帝国,http://p1.meituan.net/movie/d981a12f59d3cc92ff666094404ad8f0211220.jpg@160w_220h_1e_1c,主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩,9.,0
21,指环王3：王者无敌,http://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@160w_220h_1e_1c,主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒,9.,2
22,加勒比海盗,http://p1.meituan.net/movie/b449893ebc63d5c54eb4a5b60341f334383831.jpg@160w_220h_1e_1c,主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆,8.,9
23,无间道,http://p1.meituan.net/movie/0d93b5b585ce29c6688e43f3989fb41f86421.jpg@160w_220h_1e_1c,主演：刘德华,梁朝伟,黄秋生,9.,1
24,哈利·波特与魔法石,http://p1.meituan.net/movie/aacb9ed2a6601bfe515ef0970add1715623792.jpg@160w_220h_1e_1c,主演：丹尼尔•雷德克里夫,鲁伯特·格林特,艾玛·沃特森,9.,1
25,蝙蝠侠：黑暗骑士,http://p0.meituan.net/movie/d12a1c198ad9ffac72b5db57feacb449294699.jpg@160w_220h_1e_1c,主演：克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,9.,3
26,楚门的世界,http://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@160w_220h_1e_1c,主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇,8.,9
27,射雕英雄传之东成西就,http://p1.meituan.net/movie/53b6f0b66882a53b08896c92076515a8236400.jpg@160w_220h_1e_1c,主演：张国荣,梁朝伟,张学友,8.,9
28,教父2,http://p1.meituan.net/movie/7bac8bfa6739c18620065132ce9c64fa85110.jpg@160w_220h_1e_1c,主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿,9.,0
29,指环王2：双塔奇兵,http://p0.meituan.net/movie/5cfa597a98b35ee4ee598695942641ba287922.jpg@160w_220h_1e_1c,主演：伊利亚•伍德,伊恩·麦克莱恩,丽芙•泰勒,9.,1
30,机器人总动员,http://p1.meituan.net/movie/4592eef6b6dffcd1d950f55f41ab098f239816.jpg@160w_220h_1e_1c,主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林,9.,3
31,拯救大兵瑞恩,http://p1.meituan.net/movie/779bcc212a50a2526343362778f6b63c334618.jpg@160w_220h_1e_1c,主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔,8.,9
32,活着,http://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@160w_220h_1e_1c,主演：葛优,巩俐,牛犇,9.,0
